mp_name,constituency,region,country,party,party_abbreviation,signed_call
Cat Smith,Lancaster and Wyre,North West,England,Labour,Lab,FALSE
Alex Sobel,Leeds Central and Headingley,Yorkshire and The Humber,England,Labour and Co-operative,Lab,FALSE
Richard Burgon,Leeds East,Yorkshire and The Humber,England,Labour,Lab,FALSE
Fabian Hamilton,Leeds North East,Yorkshire and The Humber,England,Labour,Lab,FALSE
Katie White,Leeds North West,Yorkshire and The Humber,England,Labour,Lab,FALSE
Hilary Benn,Leeds South,Yorkshire and The Humber,England,Labour,Lab,FALSE
Mark Sewards,Leeds South West and Morley,Yorkshire and The Humber,England,Labour,Lab,FALSE
Rachel Reeves,Leeds West and Pudsey,Yorkshire and The Humber,England,Labour,Lab,FALSE
Shivani Raja,Leicester East,East Midlands,England,Conservative,Con,FALSE
Shockat Adam,Leicester South,East Midlands,England,Independent,Ind,FALSE
Liz Kendall,Leicester West,East Midlands,England,Labour,Lab,FALSE
Jo Platt,Leigh and Atherton,North West,England,Labour and Co-operative,Lab,FALSE
James MacCleary,Lewes,South East,England,Liberal Democrat,LD,TRUE
Janet Daby,Lewisham East,London,England,Labour,Lab,FALSE
Vicky Foxcroft,Lewisham North,London,England,Labour,Lab,FALSE
Ellie Reeves,Lewisham West and East Dulwich,London,England,Labour,Lab,FALSE
Calvin Bailey,Leyton and Wanstead,London,England,Labour,Lab,FALSE
Dave Robertson,Lichfield,West Midlands,England,Labour,Lab,FALSE
Hamish Falconer,Lincoln,East Midlands,England,Labour,Lab,FALSE
Maria Eagle,Liverpool Garston,North West,England,Labour,Lab,FALSE
Kim Johnson,Liverpool Riverside,North West,England,Labour,Lab,FALSE
Dan Carden,Liverpool Walton,North West,England,Labour,Lab,FALSE
Paula Barker,Liverpool Wavertree,North West,England,Labour,Lab,FALSE
Ian Byrne,Liverpool West Derby,North West,England,Labour,Lab,TRUE
Gregor Poynton,Livingston,Scotland,Scotland,Labour,Lab,FALSE
Nia Griffith,Llanelli,Wales,Wales,Labour,Lab,FALSE
Douglas Alexander,Lothian East,Scotland,Scotland,Labour and Co-operative,Lab,FALSE
Jeevun Sandher,Loughborough,East Midlands,England,Labour,Lab,FALSE
Victoria Atkins,Louth and Horncastle,East Midlands,England,Conservative,Con,FALSE
Jess Asato,Lowestoft,East of England,England,Labour,Lab,FALSE
Sarah Owen,Luton North,East of England,England,Labour,Lab,FALSE
Rachel Hopkins,Luton South and South Bedfordshire,East of England,England,Labour,Lab,FALSE
Tim Roca,Macclesfield,North West,England,Labour,Lab,FALSE
Joshua Reynolds,Maidenhead,South East,England,Liberal Democrat,LD,FALSE
Helen Grant,Maidstone and Malling,South East,England,Conservative,Con,FALSE
Josh Simons,Makerfield,North West,England,Labour,Lab,FALSE
John Whittingdale,Maldon,East of England,England,Conservative,Con,FALSE
Lucy Powell,Manchester Central,North West,England,Labour and Co-operative,Lab,FALSE
Afzal Khan,Manchester Rusholme,North West,England,Labour,Lab,TRUE
Jeff Smith,Manchester Withington,North West,England,Labour,Lab,TRUE
Steve Yemm,Mansfield,East Midlands,England,Labour,Lab,FALSE
Brian Mathew,Melksham and Devizes,South West,England,Liberal Democrat,LD,FALSE
Edward Argar,Melton and Syston,East Midlands,England,Conservative,Con,FALSE
Saqib Bhatti,Meriden and Solihull East,West Midlands,England,Conservative,Con,FALSE
Gerald Jones,Merthyr Tydfil and Aberdare,Wales,Wales,Labour,Lab,FALSE
Henry Tufnell,Mid and South Pembrokeshire,Wales,Wales,Labour,Lab,FALSE
Blake Stephenson,Mid Bedfordshire,East of England,England,Conservative,Con,FALSE
Greg Smith,Mid Buckinghamshire,South East,England,Conservative,Con,FALSE
Andrew Cooper,Mid Cheshire,North West,England,Labour,Lab,FALSE
Jonathan Davies,Mid Derbyshire,East Midlands,England,Labour,Lab,FALSE
Vikki Slade,Mid Dorset and North Poole,South West,England,Liberal Democrat,LD,TRUE
Susan Murray,Mid Dunbartonshire,Scotland,Scotland,Liberal Democrat,LD,TRUE
Peter Bedford,Mid Leicestershire,East Midlands,England,Conservative,Con,FALSE
George Freeman,Mid Norfolk,East of England,England,Conservative,Con,FALSE
Alison Bennett,Mid Sussex,South East,England,Liberal Democrat,LD,FALSE
Cathal Mallaghan,Mid Ulster,Northern Ireland,Northern Ireland,Sinn Fein,SF,FALSE
Andy McDonald,Middlesbrough and Thornaby East,North East,England,Labour,Lab,FALSE
Luke Myer,Middlesbrough South and East Cleveland,North East,England,Labour,Lab,TRUE
Kirsty McNeill,Midlothian,Scotland,Scotland,Labour and Co-operative,Lab,FALSE
Emily Darlington,Milton Keynes Central,South East,England,Labour,Lab,FALSE
Chris Curtis,Milton Keynes North,South East,England,Labour,Lab,FALSE
Siobhain McDonagh,Mitcham and Morden,London,England,Labour,Lab,FALSE
Catherine Fookes,Monmouthshire,Wales,Wales,Labour,Lab,FALSE
Steve Witherden,Montgomeryshire and Glyndwr,Wales,Wales,Labour,Lab,TRUE
Graham Leadbitter,"Moray West, Nairn and Strathspey",Scotland,Scotland,Scottish National Party,SNP,FALSE
Lizzi Collinge,Morecambe and Lunesdale,North West,England,Labour,Lab,FALSE
Pamela Nash,"Motherwell, Wishaw and Carluke",Scotland,Scotland,Labour,Lab,FALSE
Torcuil Crichton,Na h-Eileanan an Iar,Scotland,Scotland,Labour,Lab,FALSE
Carolyn Harris,Neath and Swansea East,Wales,Wales,Labour,Lab,FALSE
Julian Lewis,New Forest East,South East,England,Conservative,Con,FALSE
Desmond Swayne,New Forest West,South East,England,Conservative,Con,FALSE
Robert Jenrick,Newark,East Midlands,England,Conservative,Con,FALSE
